Angle,IntersectionArea_Pixels²
0.0,998.6791385024051
0.01,1000.1490699669883
0.02,1001.606702013448
0.03,1003.0526771394474
0.04,1004.4870101424192
0.05,1005.9096943147856
0.06,1007.320722935684
0.07,1008.7207460773635
0.08,1010.1108830030917
0.09,1011.4888156440495
0.1,1012.8535398199481
0.11,1014.2050554677489
0.12,1015.5441014374468
0.13,1016.8711776255715
0.14,1018.1861198069557
0.15,1019.4870099598538
0.16,1020.7732806432795
0.17,1022.0453434617805
0.18,1023.30366621125
0.19,1024.548243361855
0.2,1025.7790573123052
0.21,1026.995788838182
0.22,1028.1970001117154
0.23,1029.3827022983915
0.24,1030.5537970551038
0.25,1031.7103897948964
0.26,1032.8524748478007
0.27,1033.9800465315207
0.28,1035.0930991268192
0.29,1036.1908596633173
0.3,1037.2725567371654
0.31,1038.3384834525054
0.32,1039.3893825218536
0.33,1040.4252796558521
0.34,1041.4461695286318
0.35,1042.4520468021194
0.36,1043.4429061261053
0.37,1044.4183660581953
0.38,1045.3775787813756
0.39,1046.320608304491
0.4,1047.248128505494
0.41,1048.160261642475
0.42,1049.0570296280293
0.43,1049.9384274638073
0.44,1050.8044501394397
0.45,1051.655092632599
0.46,1052.4898284343303
0.47,1053.3080988355864
0.48,1054.1103688854946
0.49,1054.8970858343032
0.5,1055.668211403924
0.51,1056.4237457354513
0.52,1057.163711553327
0.53,1057.8881042071146
0.54,1058.596919034593
0.55,1059.2898868104103
0.56,1059.9665959197443
0.57,1060.6277289636544
0.58,1061.2733240509926
0.59,1061.9033745043316
0.6,1062.517827372179
0.61,1063.1167076621912
0.62,1063.700031698768
0.63,1064.267795252017
0.64,1064.8204823107465
0.65,1065.3582929087636
0.66,1065.8809128805758
0.67,1066.3883385329834
0.68,1066.8805661617323
0.69,1067.357576146978
0.7,1067.8193182075877
0.71,1068.2665181455243
0.72,1068.7003889306618
0.73,1069.1209512771761
0.74,1069.5281551825924
0.75,1069.9213792871574
0.76,1070.300430372395
0.77,1070.6671253845864
0.78,1071.023122235745
0.79,1071.368368891462
0.8,1071.7028652513493
0.81,1072.026658029103
0.82,1072.3397844597905
0.83,1072.64394855715
0.84,1072.940006706985
0.85,1073.2273318563282
0.86,1073.5057606048688
0.87,1073.7752921974675
0.88,1074.0358983003207
0.89,1074.2877046835927
0.9,1074.5322248096552
0.91,1074.7697996679856
0.92,1075.0004290191341
0.93,1075.2241126157064
0.94,1075.4407760306667
0.95,1075.6497709842793
0.96,1075.850946405428
0.97,1076.0448956606217
0.98,1076.2324637612626
0.99,1076.4137010952625
1.0,1076.5886461814532
1.01,1076.7572991005916
1.02,1076.9196599258833
1.03,1077.0757287229862
1.04,1077.2253749537842
1.05,1077.3682061730779
1.06,1077.5050012838697
1.07,1077.6357518954223
1.08,1077.7604878233703
1.09,1077.8792635389507
1.1,1077.9920798500111
1.11,1078.0989370803659
1.12,1078.1998355465462
1.13,1078.294775557616
1.14,1078.3838548371577
1.15,1078.4670242295747
1.16,1078.544208580034
1.17,1078.6154467774193
1.18,1078.6807951780772
1.19,1078.740254653926
1.2,1078.7938257534686
1.21,1078.8415090178892
1.22,1078.8833049809941
1.23,1078.9193242476306
1.24,1078.9493306293282
1.25,1078.9731674462
1.26,1078.9909003549649
1.27,1079.0025695618822
1.28,1079.0081758545164
1.29,1079.0077200131498
1.3,1079.0012028106075
1.31,1078.9886250124978
1.32,1078.9697968907751
1.33,1078.9441792495663
1.34,1078.9119417854686
1.35,1078.8730854912856
1.36,1078.8276116042073
1.37,1078.7755397146796
1.38,1078.7168823498146
1.39,1078.6516404940774
1.4,1078.579812620284
1.41,1078.500512057236
1.42,1078.4130664483769
1.43,1078.3180699865836
1.44,1078.2157139466747
1.45,1078.105999565046
1.46,1077.9889280703699
1.47,1077.8645006835454
1.48,1077.7323314147177
1.49,1077.5904071683028
1.5,1077.4384406063284
1.51,1077.2764334779065
1.52,1077.1044502227528
1.53,1076.9231243050156
1.54,1076.7314272019735
1.55,1076.5284214881092
1.56,1076.3141094928906
1.57,1076.0884922223916
1.58,1075.8515599472
1.59,1075.6033120671157
1.6,1075.3435637408074
1.61,1075.0712306694174
1.62,1074.7862125317479
1.63,1074.489159282106
1.64,1074.18022734029
1.65,1073.859419432898
1.66,1073.526738277184
