Angle,Aire
0.0,3.0791882144110665
0.01,4.458351350583736
0.02,6.031896687217457
0.03,7.779443102478092
0.04,9.67608134953625
0.05,11.718290977968662
0.06,13.904553982336429
0.07,16.232606284211567
0.08,18.701624446213795
0.09,21.310053163753718
0.1,24.05727831559657
0.11,26.94250365661913
0.12,29.964993963556978
0.13,33.12437036768453
0.14,36.4202519426769
0.15,39.851990566833344
0.16,43.4196399485593
0.17,47.1229383855184
0.18,50.96137999976051
0.19,54.93512248128816
0.2,59.04420268069549
0.21,63.288284995737406
0.22,67.66761037067464
0.23,72.2044942746567
0.24,76.96967734625912
0.25,81.9691161622469
0.26,87.203560599275
0.27,92.67366070841992
0.28,98.37987128989172
0.29,104.32288523187229
0.3,110.50341244192862
0.31,116.92207960476998
0.32,123.57937701385312
0.33,130.45746893039572
0.34,137.38491095460552
0.35,144.0105148275702
0.36,150.51390939857498
0.37,156.9476755468649
0.38,163.33692097443898
0.39,169.69525849844155
0.4,176.03149713537837
0.41,182.35130182780918
0.42,188.65900196014397
0.43,194.95833191546168
0.44,201.25164564311774
0.45,207.54132259067308
0.46,213.8287612429042
0.47,220.11557807068624
0.48,226.402536880286
0.49,232.689806025027
0.5,238.9797666209747
0.51,245.27113340599098
0.52,251.56331375091548
0.53,257.8555861413454
0.54,264.14656183811115
0.55,270.43540972406703
0.56,276.7207350983573
0.57,283.00069770014517
0.58,289.2743362652993
0.59,295.5401340470734
0.6,301.79629746844887
0.61,308.04151743956396
0.62,314.2741694581267
0.63,320.4921267594776
0.64,326.6934081451728
0.65,332.8761188876428
0.66,339.0378078801016
0.67,345.1756681150472
0.68,351.2865431236206
0.69,357.3669137314385
0.7,363.41229970565576
0.71,369.4168360310109
0.72,375.3721056350877
0.73,381.26639794608457
0.74,387.0773138100999
0.75,392.76639532824345
0.76,398.31525570637746
0.77,403.7177502649274
0.78,408.97368095991084
0.79,414.078985849921
0.8,419.02569858852206
0.81,423.81322324903
0.82,428.4411994003452
0.83,432.9068693835735
0.84,437.2037092557357
0.85,441.3325266065535
0.86,445.29417142080035
0.87,449.0883912346103
0.88,452.7101879543143
0.89,456.15967651096776
0.9,459.4380247458804
0.91,462.5453807706958
0.92,465.48238265785096
0.93,468.2498407291327
0.94,470.8487077890662
0.95,473.28012171179745
0.96,475.54563042159265
0.97,477.6466031509962
0.98,479.58433535297144
0.99,481.360630482269
1.0,482.9774708382412
1.01,484.4368318951462
1.02,485.7409506508028
1.03,486.8926084055191
1.04,487.89505952299345
1.05,488.752138488897
1.06,489.46881540533974
1.07,490.0518126146747
1.08,490.51068719660395
1.09,490.8620411378888
1.1,491.14173860455975
1.11,491.376670410844
1.12,491.57872354352247
1.13,491.7483513733178
1.14,491.88646297297146
1.15,492.00165864078957
1.16,492.09601263633044
