Angle,Aire
0.0,42.33937636685353
0.01,46.36125334530152
0.02,50.55145464330606
0.03,54.90763492496871
0.04,59.425943590774736
0.05,64.10386239017008
0.06,68.93977390720003
0.07,73.93255280922124
0.08,79.08126976572193
0.09,84.38500774010436
0.1,89.84299541735102
0.11,95.4546362721858
0.12,101.19983420119682
0.13,106.76012748465944
0.14,112.22357929169335
0.15,117.63222987617911
0.16,123.00415172617672
0.17,128.35179189876348
0.18,133.68807251464773
0.19,139.02320327159694
0.2,144.36348194126398
0.21,149.71601217098888
0.22,155.0836779322842
0.23,160.46811728766485
0.24,165.87033034290357
0.25,171.29150604547365
0.26,176.73262789323394
0.27,182.19450906404793
0.28,187.67802961804384
0.29,193.18402291035093
0.3,198.7132373896099
0.31,204.26645611217057
0.32,209.84458897679508
0.33,215.44834477814777
0.34,221.07839644058313
0.35,226.7355703930769
0.36,232.42080235390557
0.37,238.1323446982729
0.38,243.8688256124672
0.39,249.63407225763063
0.4,255.43099927399587
0.41,261.26058714688907
0.42,267.1135893416735
0.43,272.9869255452461
0.44,278.8796833975892
0.45,284.7913647814765
0.46,290.7206720293013
0.47,296.666694118307
0.48,302.6287069484126
0.49,308.6053738722222
0.5,314.5957892531869
0.51,320.59886530040694
0.52,326.61132187623633
0.53,332.62740615151625
0.54,338.64164537143364
0.55,344.64854712799934
0.56,350.64254185539585
0.57,356.6174775093543
0.58,362.56596163588625
0.59,368.4782210981359
0.6,374.33885340939275
0.61,380.11220995437697
0.62,385.7446549761014
0.63,391.22123699701916
0.64,396.5373606372226
0.65,401.6908847805668
0.66,406.6792879618943
0.67,411.5013456718627
0.68,416.1549339399973
0.69,420.63891536268903
0.7,424.9520539978609
0.71,429.09261686485104
0.72,433.05954199163097
0.73,436.8491447027394
0.74,440.4463476778405
0.75,443.8476815704729
0.76,447.05219197073365
0.77,450.06021520936696
0.78,452.87344065653565
0.79,455.4943869396578
0.8,457.92513118086555
0.81,460.1677544908
0.82,462.2245096545719
0.83,464.0978483874653
0.84,465.7900053033277
0.85,467.3037242569604
0.86,468.6416957794208
0.87,469.807138857431
0.88,470.8037610741251
0.89,471.6359241800359
0.9,472.30893548911894
0.91,472.8294139210756
0.92,473.2069887675836
0.93,473.4576758387675
0.94,473.6160016253929
0.95,473.74262279369225
0.96,473.8562411066998
0.97,473.9608491389458
0.98,474.057691532515
0.99,474.14850189460645
1.0,474.2335325747019
1.01,474.3138057063636
1.02,474.38948372331214
1.03,474.46081037126254
1.04,474.5285582012942
1.05,474.59281014280685
1.06,474.653596137557
1.07,474.71131545892774
1.08,474.76612508381754
1.09,474.81803358371326
1.1,474.8672746423588
1.11,474.9142665842089
1.12,474.9589182242541
1.13,475.0010441703176
1.14,475.0408454814746
1.15,475.0787403169089
1.16,475.1147436291595
1.17,475.1488553604736
1.18,475.1810053126358
1.19,475.21136157387616
1.2,475.24002307085993
1.21,475.2670137470468
1.22,475.2923506854712
1.23,475.3161143820892
1.24,475.3385583291139
1.25,475.3595101148876
1.26,475.3789362007835
1.27,475.39681516720685
1.28,475.4132231473139
1.29,475.42843823982645
1.3,475.4424812829148
1.31,475.45516897011817
1.32,475.46645313163384
1.33,475.476371385253
1.34,475.4851433146802
1.35,475.49286104207835
1.36,475.499495380029
1.37,475.505061514277
1.38,475.50958300600007
1.39,475.513111349243
1.4,475.51579588361653
1.41,475.5176319134985
1.42,475.51864910910564
1.43,475.51885656048347
1.44,475.51825042195526
1.45,475.51689551035497
1.46,475.5149889273457
1.47,475.51256425514686
1.48,475.50960623989175
1.49,475.50599227137997
1.5,475.5016767462633
1.51,475.4967776078056
1.52,475.4914966962293
1.53,475.4858387366795
1.54,475.4797765212989
1.55,475.4733054573855
1.56,475.46643112876075
1.57,475.4590251999248
1.58,475.4512488023271
1.59,475.44309118423223
1.6,475.4345726572323
1.61,475.4257111280375
1.62,475.4165066042281
1.63,475.40693306224074
1.64,475.3968508562549
1.65,475.3862391841041
1.66,475.37510278548785
1.67,475.3634380210754
1.68,475.351214414229
1.69,475.33844531871
1.7,475.3248902196663
1.71,475.3102252540487
1.72,475.29444089840604
1.73,475.2775673874972
1.74,475.25964783126324
1.75,475.2406331207582
1.76,475.2199018149163
1.77,475.19725239600683
1.78,475.1726919140049
1.79,475.14624409388665
1.8,475.11777198544706
1.81,475.08637696729653
