Angle,Aire
0.0,880.274733688984
0.01,877.3937406578019
0.02,874.4215600450228
0.03,871.3615916301256
0.04,868.2178980542444
0.05,864.9918754286442
0.06,861.6872883795303
0.07,858.3048982767716
0.08,854.8509406253686
0.09,851.3302750337215
0.1,847.7456053420118
0.11,844.1032670095916
0.12,840.4255436118794
0.13,836.7274750620954
0.14,833.0134288352348
0.15,829.2853426463549
0.16,825.546643298826
0.17,821.7987091500934
0.18,818.0423981792054
0.19,814.2805453615925
0.2,810.5168339033245
0.21,806.7510997153872
0.22,802.9849336918737
0.23,799.2199365545324
0.24,795.4561195805734
0.25,791.6939757383603
0.26,787.9348489735302
0.27,784.1792475067767
0.28,780.427170016443
0.29,776.6788710126914
0.3,772.9350692339798
0.31,769.1964375503348
0.32,765.4632588023018
0.33,761.7355831360151
0.34,758.0134468871004
0.35,754.2976790765022
0.36,750.5886678417962
0.37,746.8862812556433
0.38,743.1905162308842
0.39,739.5013807939222
0.4,735.8196229248567
0.41,732.1456194761283
0.42,728.4793089971214
0.43,724.8205674573277
0.44,721.1695761465226
0.45,717.5263372445564
0.46,713.8912923049245
0.47,710.2645685910902
0.48,706.6461790852716
0.49,703.0361986156936
0.5,699.4346340222445
0.51,695.8414454923287
0.52,692.2560992003803
0.53,688.6786966417772
0.54,685.1091880886052
0.55,681.5474729668409
0.56,677.9935462475701
0.57,674.4474350127741
0.58,670.9093079506308
0.59,667.3792211897105
0.6,663.8540935981235
0.61,660.3321233462475
0.62,656.8126898201314
0.63,653.2879433858269
0.64,649.7556907033946
0.65,646.2158940358072
0.66,642.6688021429286
0.67,639.1145597745921
0.68,635.5533764591129
0.69,631.9856128677984
0.7,628.411306436119
0.71,624.8302827286263
0.72,621.2425956994715
0.73,617.6484332192173
0.74,614.047858323693
0.75,610.4409554598217
0.76,606.8276908933259
0.77,603.2082497377694
0.78,599.5826846839431
0.79,595.9509752386418
0.8,592.3131229845729
0.81,588.669174210568
0.82,585.0191532584473
0.83,581.3630723060102
0.84,577.7009429981279
0.85,574.032821546829
0.86,570.358641422717
0.87,566.6784620480232
0.88,562.992313919162
0.89,559.3002123049517
0.9,555.6021592089747
0.91,551.897990501453
0.92,548.1873579175659
0.93,544.4699841769227
0.94,540.7458621886874
0.95,537.0144215145571
0.96,533.2754507286545
0.97,529.5288934934631
0.98,525.7744607234101
0.99,522.0127958953695
1.0,518.2456241985915
1.01,514.4729457253718
1.02,510.6946856321457
1.03,506.91081663143734
1.04,503.12110310070005
1.05,499.32523265286125
1.06,495.5233362892647
1.07,491.7154500607214
1.08,487.9014644123103
1.09,484.08098619120693
1.1,480.25681304729477
1.11,476.430377682643
1.12,472.6016386554681
1.13,468.7707998651752
1.14,464.940852820416
1.15,461.1121683388217
1.16,457.28480426318566
1.17,453.45882886499226
1.18,449.6333036998841
1.19,445.80798637021724
1.2,441.98290326084674
1.21,438.1580585682676
1.22,434.33361445559524
1.23,430.5096572174465
1.24,426.686264935526
1.25,422.86352573857073
1.26,419.04142630039837
1.27,415.2201252895381
1.28,411.39970942530164
1.29,407.58016531670853
1.3,403.7615742444446
1.31,399.9441077296623
1.32,396.12801242765875
1.33,392.3134157242448
1.34,388.50021493705714
1.35,384.6884280854879
1.36,380.87817347159796
1.37,377.0699584869351
1.38,373.2638875523922
1.39,369.4599428062317
1.4,365.6580958904332
1.41,361.8586131508364
1.42,358.0619126488631
1.43,354.2681359726027
1.44,350.4772447996086
1.45,346.6894669637624
1.46,342.90512478308995
1.47,339.12446449455985
1.48,335.34768813641364
1.49,331.57475270882486
1.5,327.8056168522189
1.51,324.040203296281
1.52,320.27876306479027
1.53,316.5200918186284
1.54,312.76387045075757
1.55,309.0101000477337
1.56,305.2590718619729
1.57,301.5108838001874
1.58,297.7654998768807
1.59,294.0229992064077
1.6,290.28387112352436
1.61,286.54830148816285
1.62,282.81624687217686
1.63,279.0878049723779
1.64,275.3635085457006
1.65,271.6433161566857
1.66,267.92726713015253
1.67,264.21713050282386
1.68,260.5140870414662
1.69,256.81759097356024
1.7,253.1257474293868
1.71,249.43864491355353
1.72,245.7562888453783
1.73,242.07921970097877
1.74,238.40801941293586
1.75,234.7426653218684
1.76,231.08336667441623
1.77,227.4307425216449
1.78,223.78484014408778
1.79,220.14618121522034
1.8,216.51519619089754
1.81,212.89189427151848
1.82,209.2768412608096
1.83,205.6702643972746
1.84,202.0725917877398
1.85,198.48458288375315
1.86,194.90623437558529
1.87,191.33811671945847
1.88,187.78060354657097
1.89,184.2363859874667
1.9,180.70591261450656
1.91,177.19031266454303
1.92,173.7028870544539
1.93,170.25882590713093
1.94,166.8604458975082
1.95,163.51766983374378
1.96,160.23356807093734
1.97,157.0137994197878
1.98,153.85839430299615
1.99,150.7692314145763
2.0,147.75224395443945
2.01,144.81239162124527
2.02,141.94920076752715
2.03,139.16262147032901
2.04,136.45599728835438
2.05,133.83367475956527
2.06,131.29739872805482
2.07,128.84712997759897
2.08,126.48327226139675
2.09,124.21021524575605
2.1,122.02848889841334
2.11,119.9380704793513
2.12,117.93877899668806
2.13,116.03256564725419
2.14,114.22249026175383
2.15,112.50856047753199
2.16,110.8903083724902
2.17,109.3670177330613
2.18,107.93835925369152
2.19,106.60455292431266
2.2,105.36678084741263
2.21,104.2252924364942
2.22,103.18010634269238
2.23,102.22823580875549
2.24,101.35103200740292
2.25,100.54272857390578
2.26,99.80015276859622
2.27,99.11437400309099
2.28,98.48083643405145
2.29,97.89922079229851
2.3,97.37052189451411
2.31,96.88970124996118
2.32,96.44968600035683
2.33,96.05020704740683
2.34,95.69140761276412
2.35,95.37005172074818
2.36,95.08170573537055
2.37,94.8251980494081
2.38,94.59991884012673
2.39,94.40242317213108
2.4,94.22887730090817
2.41,94.07921982500247
2.42,93.95342791527098
2.43,93.85015706550342
2.44,93.76461712248728
2.45,93.69539582198632
2.46,93.6433618453296
2.47,93.60943008793966
2.48,93.59249802245323
2.49,93.58921337424454
2.5,93.59934412399136
2.51,93.62289092022108
2.52,93.65977254642725
2.53,93.710020744903
2.54,93.77411753221189
2.55,93.85156770693206
2.56,93.94319699331237
2.57,94.04902118345127
2.58,94.16904422430552
2.59,94.30589295174461
2.6,94.46267594161152
2.61,94.63817833417366
2.62,94.83564899293098
2.63,95.06645484832151
2.64,95.34267503083299
2.65,95.68137551275032
2.66,96.16334678035597
2.67,96.87313841556293
2.68,97.86384738309395
2.69,99.1682865539512
2.7,100.84875518086713
2.71,103.04789611294389
2.72,105.90936443129057
2.73,109.53838953592604
2.74,113.99928873069763
2.75,119.3900482264114
2.76,125.66297986845922
2.77,132.63465517790576
2.78,140.329924517565
2.79,148.77710646283603
2.8,158.0656133718363
2.81,168.24338344779983
2.82,179.33854887087773
2.83,191.3789674862136
2.84,204.39534092453465
2.85,218.45459413200672
2.86,233.4876815256978
2.87,249.45883032941373
2.88,266.3824830172576
2.89,284.2293546238979
2.9,302.92988524450783
2.91,322.5596297515763
2.92,343.88062573260686
2.93,366.67196849932776
2.94,390.3262616290461
2.95,414.60359842111825
2.96,439.32823334405373
2.97,464.30382280853735
2.98,489.35163915656597
2.99,514.3543949953697
3.0,539.211790172132
3.01,563.8523664346543
3.02,588.1995914098916
3.03,612.2015281450327
3.04,635.8142091894882
3.05,658.9417368044
3.06,681.5264810713173
3.07,703.509352823129
3.08,724.8264410114624
3.09,745.4438595016455
3.1,765.2640804427863
3.11,784.1789833723014
3.12,802.1506189116956
3.13,819.1977172497907
3.14,835.2841362685476
3.15,850.365955168918
3.16,864.2240461670933
3.17,876.7073273351726
3.18,886.366652722071
3.19,893.0516639121576
3.2,898.8233205150455
3.21,903.7953551561899
3.22,908.0491995818323
3.23,911.647054807497
3.24,914.6448346880362
3.25,917.0777213625391
3.26,918.9824103116123
3.27,920.484653903296
3.28,921.7085336373318
3.29,922.7118522663993
3.3,923.5171149355629
3.31,924.1618862479478
3.32,924.6669280482236
3.33,925.0404782213251
3.34,925.3010746504306
3.35,925.4688058038356
3.36,925.5627056677805
3.37,925.5932037461057
3.38,925.5648339687056
3.39,925.4751637601224
3.4,925.3304786392573
3.41,925.1321845919472
3.42,924.8837114011088
3.43,924.5824691093289
3.44,924.2248177157475
3.45,923.8112252707315
3.46,923.3415573169665
3.47,922.8114377703663
3.48,922.214209428806
3.49,921.5462886384543
3.5,920.8104530840159
3.51,920.0077646968743
3.52,919.13197400519
3.53,918.1764133684811
3.54,917.1407607735297
3.55,916.0247658207088
3.56,914.8252400357387
3.57,913.5359143645014
3.58,912.1577154615043
3.59,910.6911507021392
3.6,909.1351085447595
3.61,907.4837762152679
3.62,905.7356598982883
3.63,903.8907736988566
3.64,901.9511631606056
3.65,899.9169083618385
