Angle,Aire
0.0,965.1870217531966
0.01,961.442437636685
0.02,957.619739885038
0.03,953.7236414626832
0.04,949.7603888950509
0.05,945.7391132841692
0.06,941.6614838120574
0.07,937.5295636737904
0.08,933.3438707333233
0.09,929.1090397087693
0.1,924.8372739645869
0.11,920.5306284460203
0.12,916.1890283161591
0.13,911.8151617905138
0.14,907.4211544055737
0.15,903.0085863527718
0.16,898.5775810310747
0.17,894.1297218390918
0.18,889.6734111766766
0.19,885.2112957924211
0.2,880.7426459870774
0.21,876.2683331473564
0.22,871.7892442737771
0.23,867.3092402958105
0.24,862.8288531459
0.25,858.3483848163826
0.26,853.8689936932172
0.27,849.3909002442856
0.28,844.9142623188366
0.29,840.4385820644294
0.3,835.9642325818041
0.31,831.4910708615994
0.32,827.0186718255978
0.33,822.5478099589449
0.34,818.0783870370509
0.35,813.6096113738795
0.36,809.1412998136988
0.37,804.6733844807711
0.38,800.2053248208211
0.39,795.7367761980341
0.4,791.267881415017
0.41,786.7989120420337
0.42,782.3305629562755
0.43,777.8627713887976
0.44,773.3951650805795
0.45,768.92717851989
0.46,764.4587224472552
0.47,759.989191245447
0.48,755.5183696393669
0.49,751.0470574627759
0.5,746.5752016979208
0.51,742.1018271392433
0.52,737.6268153517767
0.53,733.1499787528377
0.54,728.6711828204476
0.55,724.1897118818965
0.56,719.7050085143965
0.57,715.2176070962711
0.58,710.7280179516864
0.59,706.2346913976477
0.6,701.7370020775272
0.61,697.2347604035928
0.62,692.7262514090867
0.63,688.2105012066603
0.64,683.6871866383038
0.65,679.1540633428392
0.66,674.6114533836272
0.67,670.0630381634147
0.68,665.5097044245881
0.69,660.9516002666771
0.7,656.3909233350987
0.71,651.8294329667151
0.72,647.2684943065337
0.73,642.708970149522
0.74,638.1512147781289
0.75,633.5964856159535
0.76,629.0461703140535
0.77,624.5010034099527
0.78,619.9611443225086
0.79,615.4284377088122
0.8,610.9044078893331
0.81,606.3889876473055
0.82,601.8826308354683
0.83,597.3860533413913
0.84,592.9005095476775
0.85,588.4263232960687
0.86,583.9641921170439
0.87,579.5146657290588
0.88,575.0777897363174
0.89,570.6532054980179
0.9,566.2408209269591
0.91,561.8408432164042
0.92,557.4534421617254
0.93,553.0783928045181
0.94,548.7156501503356
0.95,544.3660737532675
0.96,540.030004752838
0.97,535.7080453636971
0.98,531.4013409781844
0.99,527.109911138126
1.0,522.8362693809698
1.01,518.5805941862664
1.02,514.3398561274532
1.03,510.1126007011848
1.04,505.89899845594283
1.05,501.6981217893572
1.06,497.5077916934934
1.07,493.32748359310244
1.08,489.15770011428674
1.09,484.997652135757
1.1,480.8460269813572
1.11,476.7035346768313
1.12,472.5703075200679
1.13,468.44610250138055
1.14,464.3296640940138
1.15,460.2199855088839
1.16,456.1167255838544
1.17,452.01974825588275
1.18,447.9286917336445
1.19,443.8419412755522
1.2,439.75872656088615
1.21,435.6790981458522
1.22,431.60300030789784
1.23,427.529602721929
1.24,423.4584224850445
1.25,419.3894800010878
1.26,415.32337019067626
1.27,411.2596264155147
1.28,407.197746205061
1.29,403.1380570357571
1.3,399.0803194018104
1.31,395.0238482173598
1.32,390.96852087227285
1.33,386.9143107587624
1.34,382.8602525060988
1.35,378.8061090363712
1.36,374.7517901677161
1.37,370.69682278539545
1.38,366.6404416440181
1.39,362.5823920722827
1.4,358.5223448205709
1.41,354.45956980425893
1.42,350.3937152121095
1.43,346.3244792132257
1.44,342.2510905418067
1.45,338.17313694453253
1.46,334.09017488530645
1.47,330.00136903885704
1.48,325.90665151636847
1.49,321.80588441560076
1.5,317.69886612829464
1.51,313.58572331505155
1.52,309.4664731830606
1.53,305.3411434789104
1.54,301.2117225706179
1.55,297.0867459706321
1.56,292.9671525256413
1.57,288.85293169610264
1.58,284.7441448422997
1.59,280.6412508427246
1.6,276.54428160470695
1.61,272.4532333588974
1.62,268.3683032888154
1.63,264.2901203889074
1.64,260.2189015699328
1.65,256.15453211451177
1.66,252.09757013618042
1.67,248.04838829012772
1.68,244.00698795794574
1.69,239.97376196787772
1.7,235.94782248641081
1.71,231.92831438880296
1.72,227.91561916477644
1.73,223.91027880854563
1.74,219.91294867536078
1.75,215.92369348284618
1.76,211.94251884218042
1.77,207.97003658500032
1.78,204.00891237125003
1.79,200.06066918066668
1.8,196.12534335362383
1.81,192.20337830183686
1.82,188.29503536712903
1.83,184.4003382939362
1.84,180.52098306308224
1.85,176.65799856017446
1.86,172.81178676761579
1.87,168.98438653878353
1.88,165.20108280518883
1.89,161.47010386596793
1.9,157.7947699417522
1.91,154.17581601254986
1.92,150.61322661431967
1.93,147.10718080272352
1.94,143.6642447449224
1.95,140.29131184836294
1.96,136.98983223317273
1.97,133.7598493946747
1.98,130.6013368777062
1.99,127.51722257605468
2.0,124.51285330926927
2.01,121.58838132041923
2.02,118.74515534626428
2.03,115.99664323117874
2.04,113.34658153706982
2.05,110.79491632597399
2.06,108.34232878731451
2.07,105.99312144764579
2.08,103.74847467278202
2.09,101.60876365577639
2.1,99.57653605939615
2.11,97.65425804729206
2.12,95.84020025630531
2.13,94.13378910400606
2.14,92.53498634031638
2.15,91.04503950150554
2.16,89.6674493006755
2.17,88.36082105564871
2.18,87.11236463865984
2.19,85.92204367474959
2.2,84.79031451913835
2.21,83.7181568259904
2.22,82.69966216590312
2.23,81.7265002869986
2.24,80.79801078392654
2.25,79.91416422916184
2.26,79.07493941276724
2.27,78.28012570146592
2.28,77.52744264308812
2.29,76.81720477595928
2.3,76.14952346073936
2.31,75.5240605521772
2.32,74.9407367502053
2.33,74.39799375364223
2.34,73.89258560219461
2.35,73.42438980529005
2.36,72.9936124335033
2.37,72.60220504433696
2.38,72.24625739950369
2.39,71.92225721999085
2.4,71.630097169191
2.41,71.3677660445491
2.42,71.12221912916769
2.43,70.89138646079316
2.44,70.67766214062345
2.45,70.48173469941023
2.46,70.29969876242781
2.47,70.13056244675028
2.48,69.9737937081038
2.49,69.83089815539572
2.5,69.70408044358747
2.51,69.58956235598019
2.52,69.48736913354607
2.53,69.39905212534734
2.54,69.33413144949074
2.55,69.29579140579953
2.56,69.28383020210303
2.57,69.30129701814083
2.58,69.36337448193186
2.59,69.4714358784684
2.6,69.6383724214841
2.61,69.88825689862128
2.62,70.25027865452404
2.63,70.99741095387499
2.64,73.26094347908437
2.65,76.14309666493516
2.66,79.54408763033531
2.67,83.46153749676
2.68,87.89031633190208
2.69,92.82596053909862
2.7,98.26381714715188
2.71,104.20040787424409
2.72,110.63313668295841
2.73,117.55638625517626
2.74,124.97394208925775
2.75,132.90805901476483
2.76,141.41059321460193
2.77,150.50787267753722
2.78,160.19596464163212
2.79,170.49271879653162
2.8,181.3934532418913
2.81,192.92988920194782
2.82,205.11989771712268
2.83,218.4310544183392
2.84,233.49728089582916
2.85,249.91938529436004
2.86,267.43910054524144
2.87,285.773607031396
2.88,304.9853971348456
2.89,325.0008310509507
2.9,345.98324659325357
2.91,367.2942847820524
2.92,388.75231953223204
2.93,410.6393597726382
2.94,433.22619783053
2.95,456.26532182572606
2.96,479.4872443147997
2.97,502.73413561583686
2.98,525.9293586513342
2.99,549.0231558463329
3.0,572.2118330193603
3.01,595.1682513389494
3.02,617.6581610714298
3.03,639.6703809737076
3.04,661.1988517408771
3.05,682.2476516131702
3.06,702.8200872970801
3.07,722.9185826038794
3.08,742.5391343592612
3.09,761.6865138629602
3.1,780.3623579935695
3.11,798.569368593509
3.12,816.3148469468529
3.13,833.5938695002293
3.14,850.3807592856033
3.15,866.6199352842686
3.16,882.2949478594402
3.17,897.3820093720017
3.18,911.8515565685831
3.19,925.2868331348075
3.2,937.1515392706648
3.21,946.8899631466446
3.22,955.4299474525187
3.23,963.2456496226813
3.24,970.2882497963633
3.25,976.5840070704268
3.26,981.8046212697867
3.27,986.6080304521374
3.28,990.7376746474064
3.29,993.2227388116893
3.3,995.1594566559074
3.31,996.5739731545953
3.32,997.0741179517526
3.33,997.3840544607261
3.34,997.6497915908203
3.35,997.8892272186356
3.36,998.0657357686839
3.37,998.1626462590896
3.38,998.178830341141
3.39,998.1195945434985
3.4,997.9833943268984
3.41,997.765539356831
3.42,997.4649568118565
3.43,997.0801545203008
3.44,996.6089988779689
3.45,996.0518639418623
3.46,995.4071794672786
3.47,994.6700752685937
3.48,993.8353025791436
3.49,992.8984494624003
3.5,991.854837166333
3.51,990.7006164916411
3.52,989.4346453269188
3.53,988.055780911728
3.54,986.562668068887
3.55,984.9522421285012
3.56,983.2238973101593
3.57,981.3751569955695
3.58,979.4054305620474
3.59,977.3135940077084
3.6,975.0995180272984
3.61,972.7657311225142
3.62,970.3105720073613
3.63,967.7332214592393
3.64,965.0336306589182
3.65,962.2107361045851
3.66,959.2640957946844
3.67,956.1937229058841
3.68,952.9993339478465
3.69,949.6820942891937
3.7,946.2432405012374
3.71,942.7178578535814
3.72,939.1254306233762
3.73,935.4659730907147
3.74,931.7402064830621
3.75,927.9533268256465
3.76,924.1133003433482
3.77,920.2226996076439
3.78,916.285996959877
3.79,912.3073833121795
3.8,908.2915571029749
3.81,904.2429881064231
3.82,900.1646469563597
3.83,896.0627576066787
3.84,891.9404079646862
3.85,887.7997284019865
3.86,883.6428925707395
3.87,879.4713329483092
3.88,875.2870185474196
3.89,871.0922689341455
3.9,866.8872598883831
3.91,862.673794401718
3.92,858.4524984966388
3.93,854.2233506934055
3.94,849.986798143226
3.95,845.7426495433984
3.96,841.4911012764692
3.97,837.2332282490542
3.98,832.969526615362
3.99,828.69998713307
4.0,824.4243896367756
4.01,820.1427098495124
4.02,815.8550079322436
4.03,811.561446530596
4.04,807.2621919695383
4.05,802.9579393809661
4.06,798.6489370945638
4.07,794.3354209842555
4.08,790.0169192629393
4.09,785.693922374656
4.1,781.3670802053118
4.11,777.0363947890967
4.12,772.701839480113
4.13,768.3634598110045
4.14,764.021193364789
4.15,759.6752372734553
4.16,755.3257207625197
4.17,750.9738529976768
4.18,746.6199292202738
4.19,742.2639282814865
4.2,737.9054555064812
4.21,733.5437626305629
4.22,729.1785017348415
4.23,724.8072844457531
4.24,720.428985105406
4.25,716.0435891578935
4.26,711.6517147898907
4.27,707.254596024669
4.28,702.8517318549102
4.29,698.4425650030905
4.3,694.0270990689784
4.31,689.605337650817
4.32,685.1773726526756
4.33,680.7450360723446
4.34,676.3096610622098
4.35,671.8722150511627
4.36,667.4327337121889
4.37,662.9912204754653
4.38,658.5476787637176
4.39,654.1022260158657
4.4,649.6567383015889
4.41,645.2127965595427
4.42,640.770804950978
4.43,636.3307761887011
4.44,631.8927028420121
4.45,627.4565837909946
4.46,623.0235144692243
4.47,618.596091750265
4.48,614.175264422146
4.49,609.7610893247899
4.5,605.3536338873195
4.51,600.9536352397695
4.52,596.5608671258784
4.53,592.1752001694616
4.54,587.7972644262545
4.55,583.4276569497766
4.56,579.0663735327987
4.57,574.7120121301346
4.58,570.3636377238661
4.59,566.0219698747969
4.6,561.6873235616921
4.61,557.3606839741421
4.62,553.0421497246851
4.63,548.7316661641992
4.64,544.4273770695446
4.65,540.1284434994187
4.66,535.8345834536173
4.67,531.5444676423364
4.68,527.2579144739582
4.69,522.9749392075447
4.7,518.6956031264915
4.71,514.4177016130484
4.72,510.14015693592137
4.73,505.861439514186
4.74,501.58029357259835
4.75,497.2967697762828
4.76,493.01100133144996
4.77,488.72309040288764
4.78,484.43355921598754
4.79,480.14236428160655
4.8,475.848030594643
4.81,471.5496436468077
4.82,467.24724066321943
4.83,462.9408176401141
4.84,458.6303092510403
4.85,454.3156465192577
4.86,449.9969472518288
4.87,445.6788543974356
4.88,441.3632909464886
4.89,437.05024301176815
4.9,432.7395806761647
4.91,428.44624114397294
4.92,424.1728100103202
4.93,419.90754802358197
4.94,415.64807642460806
4.95,411.39264156219986
4.96,407.1411625795511
4.97,402.8943535575014
4.98,398.6537769959076
4.99,394.4193175375366
5.0,390.19094088181873
5.01,385.96851319685044
5.02,381.752140546259
5.03,377.541436547164
5.04,373.33714197521425
5.05,369.1409708562709
5.06,364.9528077794631
5.07,360.77268309360903
5.08,356.60068395458296
5.09,352.436763345335
5.1,348.2804930911891
5.11,344.13324065340686
5.12,339.99683366740254
5.13,335.8713931926213
5.14,331.7569283999851
5.15,327.6534421794706
5.16,323.5608889323272
5.17,319.4790117788535
5.18,315.4070534896872
5.19,311.34486128378217
5.2,307.2961833073775
5.21,303.26761875995476
5.22,299.25913122348055
5.23,295.27071316002235
5.24,291.30247653379854
5.25,287.35441969475863
5.26,283.426175697142
5.27,279.5108145089945
5.28,275.60513534065615
5.29,271.70920496160255
5.3,267.82306452135185
5.31,263.9366111488578
5.32,260.040113961339
5.33,256.1497157526909
5.34,252.26700174215966
5.35,248.394476259921
5.36,244.53195286634664
5.37,240.6793135249384
5.38,236.83734314324357
5.39,233.00669238897746
5.4,229.18740250871278
5.41,225.37957274301127
5.42,221.58318701251318
5.43,217.79837630344645
5.44,214.02565779500162
5.45,210.26450894288092
5.46,206.51263490328267
5.47,202.7697686964291
5.48,199.0358879772827
5.49,195.3108825337416
5.5,191.59509304641574
5.51,187.8900978479558
5.52,184.2070814251933
5.53,180.54851420773824
5.54,176.91446813743642
5.55,173.30493200064643
5.56,169.71986349820543
5.57,166.16781063939368
5.58,162.6679876014501
5.59,159.22114320671483
5.6,155.82712901687546
5.61,152.48489022955113
5.62,149.1941974836228
5.63,145.9550227426591
5.64,142.76732019271498
5.65,139.63143075996734
5.66,136.57309974551654
5.67,133.6080614403454
5.68,130.7362959937957
5.69,127.95786427461078
5.7,125.2727186937065
5.71,122.68119113693027
5.72,120.19023165348953
5.73,117.80232568898067
5.74,115.51742163383588
5.75,113.33542950092281
5.76,111.25660467276803
5.77,109.2810094373796
5.78,107.40854763725291
5.79,105.63910392168374
5.8,103.97262408934796
5.81,102.40438757167172
5.82,100.91946259231737
5.83,99.5198519436004
5.84,98.20693220909902
5.85,96.98047361850072
5.86,95.81886828793775
5.87,94.70694759314249
5.88,93.64469018664501
5.89,92.63210310337854
5.9,91.66932565478447
5.91,90.75645706068357
5.92,89.89344552013856
5.93,89.08024090640347
